Samples,Malodour,Cluster_3,Cluster_13,Cluster_14,Cluster_15,Cluster_16,Cluster_17,Cluster_18,Cluster_19,Cluster_20,Cluster_22,Cluster_23,Cluster_24,Cluster_25,Cluster_28,Cluster_30,Cluster_31,Cluster_33,Cluster_34,Cluster_40,Cluster_54,Cluster_55,Cluster_59,Cluster_67,Cluster_81,Cluster_85,Cluster_87,Cluster_88,Cluster_91,Cluster_99,Cluster_116,Cluster_134,Cluster_168,Cluster_175,Cluster_211,Cluster_225,Cluster_265,Cluster_271,Cluster_281,Cluster_337,Cluster_497,Cluster_558,Cluster_644,Cluster_2338,Cluster_2466,Cluster_2471,Cluster_2474,Cluster_2475,Cluster_2478,Cluster_2483,Cluster_2484,Cluster_2487,Cluster_2488,Cluster_2490,Cluster_2496,Cluster_2499,Cluster_2505,Cluster_2507,Cluster_2529,Cluster_2599,Cluster_2820,Cluster_2862,Cluster_2863,Cluster_2907,Cluster_3096,Cluster_3115,Cluster_3116,Cluster_3118,Cluster_3122,Cluster_3128,Cluster_3142,Cluster_3144,Cluster_3156,Cluster_3276,Cluster_3304,Cluster_3380,Cluster_3392,Cluster_3396,Cluster_3408,Cluster_3413,Cluster_3414,Cluster_3427,Cluster_3430,Cluster_3452,Cluster_3453,Cluster_3480,Cluster_3484,Cluster_3489,Cluster_3510,Cluster_3527,Cluster_3557,Cluster_3574,Cluster_3585,Cluster_3592,Cluster_3601,Cluster_3702,Cluster_3703,Cluster_3704,Cluster_3709,Cluster_3715,Cluster_3726,Cluster_3731,Cluster_3732,Cluster_3746,Cluster_3751,Cluster_3769,Cluster_3792,Cluster_3818,Cluster_3838
Ig9373,N,10,166,87,328,4,45,526,71,16,573,10,4,1,0,0,125,14,29,0,13,15,1,12,32,14,0,0,0,0,1,0,0,80,3,6,0,0,0,1,0,0,0,17,0,0,0,12,0,11,0,0,3,0,0,0,0,0,9,0,16,11,4,0,54,0,142,0,71,1,1,264,41,6,0,0,19,0,0,1,0,5,6,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,1,2,0,2,0,0,3,0,0,0,0
Ig9374,N,15,350,237,33,1,0,519,37,71,217,129,1,0,23,43,9,17,3,92,9,11,0,0,2,0,6,1,1,0,2,0,0,1,0,26,3,8,0,3,0,0,0,14,0,1,0,241,1,4,0,0,1,0,1,0,0,0,13,0,19,25,11,0,10,0,449,2,34,2,0,108,6,3,0,13,0,2,0,5,0,0,2,16,2,7,0,2,2,0,0,1,0,0,0,1,8,2,0,1,0,0,0,1,0,0,0,0,0
Ig9375,N,24,112,168,62,102,0,547,150,134,145,118,3,2,13,7,2,3,1,0,61,15,0,0,1,11,125,1,2,0,2,1,4,1,1,25,4,0,1,1,0,0,0,19,0,4,5,18,5,5,0,0,0,0,1,0,8,0,65,0,52,13,8,1,14,10,192,27,49,2,5,71,35,19,0,162,15,5,0,9,2,9,2,0,14,17,0,2,1,0,4,2,0,0,0,1,46,0,4,5,0,0,11,65,9,0,7,0,7
Ig9376,N,27,195,117,59,102,20,882,139,135,339,106,8,0,14,34,2,7,0,0,2,1,0,0,1,0,3,0,6,0,0,3,2,1,4,4,0,0,0,12,0,0,0,17,1,7,0,78,3,1,0,0,3,0,0,0,0,0,42,0,71,23,13,1,39,7,80,1,55,0,1,15,1,0,0,4,1,4,0,1,16,0,0,1,2,11,0,4,6,12,2,0,1,0,1,0,21,0,7,5,0,0,3,63,18,5,9,0,1
Ig9377,N,48,167,222,18,0,2,544,79,94,322,58,3,0,5,28,5,0,0,2,13,1,0,0,3,2,1,0,1,1,0,0,3,0,0,1,0,0,0,1,0,0,0,5,14,11,6,324,0,3,1,0,0,0,0,0,0,0,10,0,26,34,7,4,0,9,438,5,21,1,1,62,60,11,0,9,0,26,1,2,0,0,0,0,4,25,5,7,0,0,0,1,0,0,2,0,12,30,0,2,0,0,6,26,22,3,0,0,0
Ig9378,N,30,299,45,47,17,488,526,30,10,70,356,0,0,1,3,9,6,1,0,3,0,2,0,0,0,0,0,0,0,4,0,0,1,1,2,0,0,0,2,0,0,0,13,0,3,1,101,0,19,0,4,3,0,0,0,7,0,1,0,13,16,5,2,33,0,616,0,42,4,0,9,2,1,0,2,0,0,0,4,0,1,1,14,0,0,0,2,4,0,0,0,0,0,0,0,2,2,1,3,0,1,0,0,1,0,0,0,0
Ig9379,N,23,130,93,154,36,122,243,217,32,253,52,14,23,9,11,26,2,4,0,19,135,0,0,0,2,89,2,0,2,0,6,2,8,3,10,1,0,3,5,0,0,0,7,0,19,39,147,1,6,10,0,2,2,0,1,2,0,148,0,29,29,1,1,2,12,120,23,30,0,0,35,127,24,0,55,3,1,1,2,0,10,1,0,15,1,1,10,12,0,5,1,4,1,0,1,88,4,2,6,1,0,6,58,27,1,4,0,0
Ig9380,N,10,170,135,156,54,18,802,112,0,466,7,0,0,0,3,0,6,0,0,0,1,38,0,0,1,0,0,0,0,0,0,0,8,2,0,0,0,6,2,0,0,0,17,0,1,0,0,9,2,0,0,0,0,0,0,0,0,8,0,33,65,8,3,1,0,520,0,26,2,0,88,40,11,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,2,0,1,0,0,0,2,0,0,0,0,0
Ig9381,N,22,107,226,167,1,0,544,187,117,314,37,0,10,1,7,0,0,0,15,3,3,11,0,1,2,0,3,1,0,0,0,0,0,15,1,0,9,4,0,1,0,0,6,0,26,18,142,1,5,7,1,2,0,1,2,7,0,32,0,101,25,30,1,13,3,103,14,14,2,0,8,31,7,0,93,19,0,0,0,0,70,11,0,10,0,0,1,15,0,0,0,0,0,1,1,29,0,14,11,0,0,10,157,4,1,0,0,0
Ig9382,N,43,162,52,166,33,2,404,400,24,370,134,1,6,1,81,3,8,1,0,54,30,5,20,0,5,0,1,0,1,0,1,0,1,16,0,0,0,3,1,0,0,0,21,0,6,2,23,3,0,1,0,0,1,0,0,6,1,60,0,53,79,5,5,22,0,148,18,23,5,1,16,112,22,0,28,5,0,0,3,0,16,2,0,7,0,0,1,1,2,0,0,0,0,0,1,70,0,1,15,1,0,0,53,2,0,0,0,0
Ig9383,N,8,428,76,26,4,31,773,37,14,429,18,0,0,0,7,0,3,0,0,0,0,5,0,0,3,0,1,0,0,0,0,0,4,0,0,0,0,2,5,0,1,0,16,0,27,0,1,6,2,0,0,0,1,2,0,0,0,40,0,47,63,18,7,14,0,356,4,40,4,0,107,61,7,0,10,0,1,0,0,0,0,0,0,0,8,0,2,0,0,13,1,0,0,0,0,27,0,8,13,1,0,7,61,1,1,0,0,0
Ig9384,N,25,237,93,67,0,222,564,142,110,100,240,0,0,0,2,0,14,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,0,6,4,0,0,1,1,0,0,0,3,0,25,4,205,3,8,1,0,0,0,1,2,0,0,25,0,42,30,11,3,13,0,453,7,14,6,0,9,23,5,0,32,0,10,0,0,0,0,0,0,3,4,0,13,0,0,0,1,0,0,1,2,29,0,17,3,0,0,11,50,3,2,0,0,0
Ig9385,N,89,62,1,379,0,0,292,211,9,490,38,3,1,1,0,0,9,0,0,1,36,3,10,11,5,0,2,1,1,0,5,0,0,15,14,0,0,5,6,0,7,0,5,0,6,7,0,18,0,1,0,0,0,0,0,0,0,32,0,144,46,20,1,0,0,304,0,4,7,2,11,128,48,0,0,12,0,0,1,0,4,5,0,0,0,0,3,2,0,1,30,0,0,0,1,110,2,0,4,5,9,0,0,0,0,0,0,0
Ig9386,N,22,121,134,183,14,30,428,252,53,236,103,4,9,23,0,48,0,12,0,17,68,5,3,1,1,0,1,6,2,2,0,3,19,9,2,0,0,2,4,4,1,1,9,0,4,6,61,1,3,3,1,2,1,2,0,0,0,115,0,31,34,14,1,12,0,211,23,48,0,0,35,55,23,0,34,0,0,1,5,0,6,0,0,14,6,1,12,4,0,1,0,0,0,0,2,96,0,8,22,0,0,15,92,12,0,0,0,0
Ig9387,N,27,533,114,151,4,0,511,45,1,286,2,10,0,2,0,0,3,0,0,5,3,9,0,3,0,0,1,0,2,0,0,4,0,9,1,0,0,3,0,0,2,7,20,1,1,1,0,1,1,0,0,0,0,0,0,0,0,74,0,85,29,32,3,9,0,355,2,32,4,2,100,68,32,55,0,0,0,9,2,0,0,0,0,1,10,3,5,2,0,1,5,0,0,0,0,58,13,1,3,2,0,1,21,39,3,0,0,1
Ig9388,N,226,215,79,91,51,97,439,284,43,218,33,5,1,6,16,35,7,5,0,10,37,3,1,7,6,0,1,1,2,0,0,7,1,3,4,0,0,2,2,0,1,0,12,0,5,6,24,12,6,0,1,0,0,2,0,1,0,61,0,83,50,8,0,10,0,70,8,24,1,1,33,90,83,4,56,6,6,1,0,0,16,2,5,4,0,5,15,13,0,3,2,0,0,0,1,54,0,7,25,2,1,4,52,11,1,4,0,1
Ig9389,N,25,142,92,80,11,43,609,167,128,444,37,10,2,5,41,7,1,4,0,0,18,1,0,3,4,0,0,0,0,1,0,2,0,2,0,0,0,0,9,0,2,0,9,0,0,0,74,1,3,0,0,4,0,3,1,0,0,103,0,84,64,22,5,11,2,156,3,43,3,2,47,49,8,0,52,4,12,5,1,2,0,0,0,1,4,1,4,2,7,1,0,0,0,1,0,60,2,11,6,0,0,28,84,13,2,0,0,1
Ig9390,N,41,234,113,199,19,1,507,46,22,617,7,19,0,1,269,0,1,2,0,4,5,5,0,3,0,0,0,0,0,0,0,1,0,8,9,0,0,2,2,1,3,1,11,1,1,0,8,0,9,0,0,1,0,0,0,0,0,10,0,72,16,6,0,15,0,385,5,18,6,6,33,20,2,0,5,5,0,7,1,3,2,2,0,1,9,1,2,1,0,0,1,0,0,0,0,46,3,3,1,0,0,2,25,3,0,1,0,0
Ig9391,N,14,276,264,74,25,3,713,66,45,198,2,3,0,10,1,22,2,8,0,3,9,1,0,0,3,63,1,0,0,3,0,1,2,3,12,1,0,0,3,0,3,4,31,1,4,0,244,2,6,0,1,3,0,0,0,0,0,52,0,80,31,13,0,71,0,120,10,67,0,1,81,15,4,0,6,4,6,0,0,3,4,2,0,5,3,2,2,3,5,0,0,6,0,1,1,16,7,9,2,0,0,2,75,17,2,0,0,1
Ig9392,N,2,144,300,114,6,56,369,147,86,272,20,7,1,0,0,2,1,1,0,2,0,3,0,0,2,0,2,1,0,1,0,16,12,1,1,0,0,3,2,1,0,5,9,0,1,0,362,0,3,0,1,0,0,0,2,5,0,54,0,43,11,5,0,10,0,177,62,34,4,2,15,63,8,0,55,1,24,10,11,8,3,0,0,32,0,0,1,2,0,0,2,0,7,0,1,2,20,3,0,0,0,2,115,71,3,0,0,2
Ig9393,N,24,260,62,187,1,204,446,274,5,319,61,2,5,2,0,0,2,0,0,18,63,3,2,2,13,0,1,5,4,0,1,0,3,0,0,0,0,4,5,0,2,1,7,0,41,9,52,4,4,14,0,0,0,2,0,0,0,37,1,88,31,10,1,11,2,337,8,32,3,0,83,36,15,0,0,7,1,0,0,0,14,6,0,1,1,0,1,0,0,2,0,0,0,0,2,3,2,0,0,0,0,0,37,5,0,1,0,0
Ig9394,N,19,138,132,267,1,13,607,373,53,528,6,1,8,0,0,2,2,4,0,2,26,6,0,1,2,0,0,0,2,0,0,1,8,3,0,0,0,2,0,0,3,2,1,0,5,7,9,2,0,5,0,0,0,0,1,0,0,66,0,137,72,23,2,0,0,126,2,6,0,0,34,60,11,0,14,2,1,1,1,0,0,1,0,1,0,0,7,37,0,0,0,0,0,0,0,25,3,3,1,0,0,0,20,3,0,0,0,0
Ig9395,N,38,85,290,53,0,9,995,48,19,279,1,4,1,4,0,0,0,0,0,2,3,3,0,11,0,0,1,3,0,3,0,2,0,2,0,0,0,2,1,0,0,11,8,2,1,1,31,1,6,0,0,3,0,0,0,2,0,52,0,62,78,11,1,3,5,454,12,17,4,5,28,45,13,0,7,0,1,5,0,0,0,0,0,7,44,0,4,1,0,0,6,0,0,0,3,19,11,2,1,0,1,1,26,23,3,0,0,1
Ig9396,N,12,206,176,85,0,42,383,115,39,448,11,0,19,0,0,0,1,0,0,0,57,1,0,0,3,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,40,46,228,2,3,20,0,0,4,0,0,0,0,45,0,56,47,7,0,1,0,444,16,0,6,0,2,16,1,0,73,6,10,0,0,0,11,1,0,7,2,1,17,5,0,0,0,0,0,0,7,68,1,7,17,6,4,14,43,4,0,0,0,0
Ig9397,N,3,86,96,226,2,2,300,443,64,270,72,0,4,0,54,0,0,0,11,5,28,2,1,0,1,0,1,2,5,0,0,1,20,4,0,5,17,1,1,0,1,0,3,0,126,41,0,5,0,4,0,0,0,2,4,0,0,23,0,53,21,11,2,3,0,544,17,8,1,0,24,64,17,0,7,0,1,0,1,3,1,0,0,4,1,0,0,0,0,0,1,0,0,0,0,91,2,2,11,1,1,0,53,8,0,0,0,0
Ig9398,N,22,233,159,5,2,92,761,126,68,71,157,3,1,19,139,10,0,6,1,0,2,0,0,0,0,0,4,6,0,0,2,0,46,0,4,0,0,0,5,3,0,0,4,2,19,0,285,1,24,0,0,1,0,10,0,17,0,33,0,17,9,7,0,27,0,257,1,39,2,0,51,3,4,0,25,0,4,0,4,0,1,0,0,2,0,4,2,7,5,3,0,0,0,0,0,13,0,9,1,0,0,4,16,24,5,0,0,0
Ig9399,N,23,187,107,123,1,19,592,226,106,535,48,0,0,1,18,0,3,0,0,5,5,3,1,10,1,0,1,3,2,2,1,0,2,5,0,0,0,4,2,0,7,1,1,0,10,3,14,8,2,2,0,0,1,3,2,0,0,22,0,41,37,16,6,11,0,482,0,26,7,0,42,11,14,0,6,0,0,0,3,1,49,0,0,0,1,0,1,1,0,1,0,0,0,0,1,8,0,5,3,1,1,0,7,0,0,0,0,0
Ig9400,N,10,178,202,102,35,123,547,352,11,221,59,7,1,7,4,59,5,19,0,22,58,2,0,3,0,0,2,3,3,2,1,2,5,4,23,0,0,2,1,2,1,4,5,9,10,2,285,1,9,0,1,1,1,1,0,4,0,13,0,23,16,10,0,5,0,168,0,24,3,0,48,17,7,0,20,3,0,0,5,0,4,1,2,0,0,1,1,3,0,0,1,0,4,0,0,14,2,5,4,1,2,0,26,9,0,0,0,2
Ig9401,N,47,147,108,200,4,0,367,584,3,415,23,2,12,5,0,11,2,4,0,2,60,5,9,4,21,5,1,0,7,1,0,0,0,6,0,0,0,5,7,0,4,1,4,0,29,0,80,6,2,0,1,0,1,0,0,0,0,38,3,31,55,1,3,8,0,166,18,25,1,0,66,93,20,0,3,0,0,0,2,0,1,0,0,17,0,1,1,0,0,17,7,0,1,0,11,72,0,0,9,0,0,8,9,5,0,0,0,0
Ig9402,N,18,84,156,62,84,23,662,171,110,119,60,3,3,23,1,96,1,24,0,15,17,3,0,2,1,29,3,0,0,6,0,1,36,4,11,0,0,2,8,0,1,1,12,0,24,81,125,13,16,11,1,1,0,21,1,4,0,82,0,37,15,3,3,12,1,133,13,13,1,0,88,55,26,0,66,4,1,0,6,6,6,2,1,1,1,0,3,9,4,6,4,0,5,0,0,46,1,6,1,0,0,21,16,12,2,0,0,2
Ig9403,N,0,289,180,0,7,348,505,73,51,231,452,0,0,0,0,3,1,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,296,0,7,0,0,0,0,2,0,0,0,29,0,34,0,25,0,2,0,148,1,11,3,0,4,2,0,0,10,0,4,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,2,6,9,4,0,0,0
Ig9404,N,22,190,159,66,0,0,677,192,97,658,49,1,7,0,4,0,1,0,0,0,27,7,0,0,2,0,5,0,1,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,1,0,8,21,2,0,0,0,0,0,0,0,0,19,4,44,39,21,0,13,0,400,6,12,2,0,30,40,12,0,2,1,0,0,0,0,0,0,0,7,0,0,3,0,0,0,0,0,0,0,0,13,0,5,4,0,0,3,31,1,0,0,0,0
Ig9405,N,74,146,124,81,31,0,637,239,79,87,97,1,26,29,1,14,1,20,0,28,34,4,0,0,1,96,1,8,1,0,0,1,0,6,0,3,0,2,2,0,0,1,8,0,0,42,89,9,4,20,0,0,1,12,0,13,0,64,2,71,18,2,0,20,21,33,19,18,3,0,73,29,14,0,119,0,0,1,1,0,6,1,15,4,8,16,6,25,0,0,0,0,0,0,1,133,6,8,19,4,1,3,31,8,0,0,0,2
Ig9406,N,130,49,58,133,9,5,423,306,43,231,113,4,49,2,1,0,8,0,0,0,95,5,0,1,15,9,1,1,1,1,0,2,0,5,6,2,0,2,0,0,0,0,4,0,50,23,7,57,1,6,1,0,5,2,4,0,0,95,0,91,35,7,0,1,0,156,38,22,1,2,30,156,19,0,40,60,0,0,1,8,0,8,0,18,4,0,1,0,0,0,3,0,4,0,5,134,0,4,44,14,5,1,2,2,0,0,0,0
Ig9407,P,4,131,229,107,5,4,389,340,99,283,84,3,2,2,5,18,4,6,0,8,9,5,0,4,0,0,4,2,2,0,0,0,1,5,18,0,0,2,5,0,1,0,4,0,2,0,190,0,1,0,0,2,0,0,0,2,0,22,7,41,29,18,1,5,2,309,30,8,2,1,17,22,9,0,44,0,2,0,1,1,7,1,0,24,0,0,0,0,1,3,0,1,0,0,0,27,0,24,7,0,0,16,118,60,3,0,0,0
Ig9408,P,18,62,178,80,60,6,336,336,69,162,287,8,18,34,10,35,8,7,0,39,112,3,0,2,3,1,8,6,3,4,0,2,15,1,1,0,0,0,11,3,0,6,9,0,32,30,75,7,12,11,10,0,2,3,3,34,0,27,1,33,18,2,0,9,0,69,4,31,0,0,42,28,9,0,20,1,0,0,9,29,1,1,2,4,2,9,4,20,3,0,0,17,43,0,0,15,7,0,4,1,1,10,27,42,0,0,0,1
Ig9409,P,31,167,131,315,6,0,101,113,1,642,28,15,2,0,17,0,3,0,0,3,14,3,0,1,4,0,1,0,0,4,0,3,0,3,0,0,0,6,10,0,3,14,6,58,2,0,0,6,0,1,0,0,0,0,0,1,0,37,1,144,24,24,1,27,0,433,1,36,2,0,49,41,19,0,1,0,6,0,1,1,1,0,0,0,34,1,0,0,0,3,1,0,0,4,1,18,57,1,0,0,0,1,36,55,0,0,0,0
Ig9410,P,26,180,81,37,8,88,429,245,148,112,317,0,1,0,0,14,1,8,0,12,24,1,0,1,2,92,0,1,0,2,0,4,0,0,2,2,0,0,4,0,1,1,7,0,3,5,112,0,25,0,0,3,0,4,0,1,0,69,5,109,21,11,0,9,0,238,6,22,2,3,23,21,8,5,158,4,25,4,5,0,1,0,0,8,0,0,1,3,0,0,2,24,16,0,0,7,1,18,0,0,0,9,35,5,0,0,1,1
Ig9411,P,3,176,129,30,7,21,361,241,58,162,186,0,7,5,7,15,0,9,0,21,6,1,0,0,0,55,2,10,0,3,3,4,0,0,7,3,55,0,10,5,1,0,8,18,19,7,213,0,6,0,5,8,0,2,1,5,7,35,0,55,40,9,3,12,4,361,14,30,4,1,41,24,5,0,38,2,3,0,1,12,2,0,1,6,1,1,0,1,0,0,0,0,1,16,0,60,3,10,1,0,0,3,71,18,0,0,0,0
Ig9412,P,65,311,54,128,1,0,424,306,0,405,0,9,0,0,0,2,1,3,0,9,18,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,1,5,0,4,2,32,1,17,0,0,0,0,3,1,0,0,90,0,251,89,2,6,0,0,315,5,24,1,2,62,24,15,2,0,0,6,1,0,0,8,0,0,4,0,0,18,0,0,0,1,0,0,0,8,67,0,10,12,4,4,6,38,0,0,0,0,0
Ig9413,P,9,252,98,24,0,20,612,130,81,363,142,0,7,0,31,0,1,0,0,7,6,0,0,0,8,0,0,3,1,0,2,1,0,2,0,0,0,1,3,0,0,3,2,0,33,2,76,3,19,1,4,0,2,12,7,1,0,38,0,70,37,29,4,3,0,281,32,4,3,0,30,27,11,0,111,2,6,1,1,1,5,1,0,10,10,2,1,0,0,0,0,0,2,0,0,44,0,21,0,0,0,27,91,2,0,0,1,0
Ig9414,P,92,184,62,310,1,0,224,374,67,399,14,5,11,0,39,6,11,1,0,5,28,2,9,4,3,0,5,0,3,1,0,7,0,4,0,1,0,3,0,0,4,0,10,5,61,16,30,3,0,4,0,0,0,1,0,0,0,116,0,100,51,7,0,6,0,143,27,10,2,2,33,81,17,3,32,6,2,1,0,0,2,2,0,9,0,1,2,0,0,0,0,0,3,0,0,50,15,12,8,5,0,3,77,32,0,0,0,0
